"active","code_ine","name"
"True","U,O","Administraciones publicas y otras organizaciones"
"True","A,B","Agricultura, ganadería y minería"
"True","F,L","Construcción e inmobiliarias"
"True","I","Turismo, hostelería y restauración"
"True","H","Transporte, almacenamiento y logística"
"True","T","Servicios (varios)"
"True","K","Financiero"
"True","P","Educación"
"True","D, E","Energético"
"True","Q","Sanidad"
"True","R","Actividades artísticas, recreativas y de ocio"
"True",".","Alimentación"
"True",".","Textil"
"True",".","Madera y mueble"
"True",".","Gráfico"
"True",".","Químico y farmacéutico"
"True",".","Metalurgia"
"True",".","Industrial (varios)"
"True",".","Informática & TIC"
"True",".","Automoción y otros vehículos"
"True",".","Comercio (varios)"
"True","C, B, D, E","Industria"
"True","G","Comercio"
"True","J","Telecomunicaciones y servicios informaticos"
